Var1,Var2,sub_trial_avg_1,sub_trial_avg_2,sub_trial_avg_3,sub_trial_avg_4,sub_trial_avg_5,sub_trial_avg_6,sub_trial_avg_7,sub_trial_avg_8,sub_trial_avg_9,sub_trial_avg_10,sub_trial_avg_11,sub_trial_avg_12,sub_trial_avg_13,sub_trial_avg_14,sub_trial_avg_15,sub_trial_avg_16,sub_trial_avg_17,sub_trial_avg_18,sub_trial_avg_19,sub_trial_avg_20,sub_trial_avg_21,sub_trial_avg_22,sub_trial_avg_23,sub_trial_avg_24,sub_trial_avg_25,sub_trial_avg_26,sub_trial_avg_27,sub_trial_avg_28,sub_trial_avg_29,sub_trial_avg_30,sub_trial_avg_31,sub_trial_avg_32,sub_trial_avg_33,sub_trial_avg_34,sub_trial_avg_35,sub_trial_avg_36,sub_trial_avg_37,sub_trial_avg_38,sub_trial_avg_39,sub_trial_avg_40,sub_trial_avg_41,sub_trial_avg_42,sub_trial_avg_43,sub_trial_avg_44,sub_trial_avg_45,sub_trial_avg_46,sub_trial_avg_47,sub_trial_avg_48,sub_trial_avg_49,sub_trial_avg_50,sub_trial_avg_51,sub_trial_avg_52,sub_trial_avg_53,sub_trial_avg_54,sub_trial_avg_55,sub_trial_avg_56,sub_trial_avg_57,sub_trial_avg_58,sub_trial_avg_59,sub_trial_avg_60,sub_trial_avg_61,sub_trial_avg_62,sub_trial_avg_63,sub_trial_avg_64,sub_trial_avg_65,sub_trial_avg_66,sub_trial_avg_67,sub_trial_avg_68,sub_trial_avg_69,sub_trial_avg_70,sub_trial_avg_71,sub_trial_avg_72,sub_trial_avg_73,sub_trial_avg_74,sub_trial_avg_75,sub_trial_avg_76,sub_trial_avg_77,sub_trial_avg_78,sub_trial_avg_79,sub_trial_avg_80,sub_trial_avg_81,sub_trial_avg_82,sub_trial_avg_83,sub_trial_avg_84,sub_trial_avg_85,sub_trial_avg_86,sub_trial_avg_87,sub_trial_avg_88,sub_trial_avg_89,sub_trial_avg_90,sub_trial_avg_91,sub_trial_avg_92,sub_trial_avg_93,sub_trial_avg_94,sub_trial_avg_95,sub_trial_avg_96,sub_trial_avg_97,sub_trial_avg_98,sub_trial_avg_99,sub_trial_avg_100,sub_trial_avg_101
GR0326,AcceleratingHS,1.47681908,1.47468713,1.47255518,1.47042323,1.468291279,1.466159329,1.464027379,1.461895429,1.459763478,1.457631528,1.455499578,1.453367627,1.451413832,1.452195047,1.457083804,1.465482505,1.476514679,1.487116167,1.494668723,1.499225548,1.50140211,1.502092057,1.502208617,1.502428298,1.503069912,1.504017936,1.504675122,1.504027174,1.50076571,1.493523194,1.481012747,1.461880866,1.43543653,1.401203303,1.359327013,1.310470948,1.255541882,1.196216825,1.134242367,1.071555997,1.01028168,0.952385996,0.899480706,0.852686829,0.812702473,0.779607531,0.753571456,0.735119653,0.723732377,0.717843847,0.715837191,0.715239059,0.714710532,0.714182004,0.713653476,0.713124949,0.712596421,0.712067894,0.711539366,0.711010838,0.710918103,0.71290836,0.717805458,0.724971349,0.73332555,0.740981315,0.74642277,0.750022959,0.752505684,0.754455485,0.756149852,0.757598427,0.758638539,0.759009892,0.758534796,0.757295853,0.755704948,0.754581617,0.75520886,0.759137836,0.767925726,0.783220362,0.806127397,0.837361832,0.876876746,0.924221685,0.978439006,1.037730169,1.099964325,1.163045442,1.224719872,1.282616496,1.334741571,1.379893675,1.417129919,1.445724105,1.46429649,1.474629551,1.47881088,1.478768205,1.476985436
GR0326,DeceleratingHS,0.946863476,0.925741147,0.908487556,0.89203677,0.875585983,0.859135197,0.84268441,0.826233624,0.809782838,0.793332051,0.776881265,0.760430479,0.74405333,0.731492006,0.725999379,0.727084628,0.733937627,0.742928122,0.748898266,0.752048865,0.753047295,0.752719886,0.751841885,0.751010668,0.750614746,0.75085195,0.751710979,0.753020881,0.754510053,0.755833673,0.756636998,0.756624602,0.755691877,0.753940512,0.751802364,0.750049542,0.749855875,0.752551709,0.759685821,0.772751288,0.792823772,0.820914575,0.857159054,0.901303711,0.95233448,1.008635384,1.068517018,1.127329656,1.177505707,1.215867224,1.242441119,1.258700186,1.271415917,1.283788005,1.296160092,1.30853218,1.320904268,1.333276355,1.345648443,1.358020531,1.370392618,1.382764706,1.395136794,1.407508881,1.419857627,1.431518251,1.441514975,1.450181767,1.457994753,1.465576949,1.473919065,1.482573777,1.4904731,1.49677884,1.500997095,1.50299663,1.502959308,1.501377408,1.498896145,1.496184136,1.493843934,1.492335084,1.491846586,1.49225621,1.493148335,1.493815669,1.493156683,1.489915814,1.482881737,1.470777485,1.452325374,1.426220102,1.392230744,1.350558335,1.301645872,1.246252635,1.185601634,1.122377828,1.061425047,1.008588364,0.966887813
GR0326,FastHS,1.460586636,1.460527791,1.460468946,1.460410101,1.460351256,1.460292412,1.460233567,1.460174722,1.460115877,1.460057032,1.459998188,1.459939343,1.459946872,1.461515814,1.465731551,1.471341501,1.47627697,1.476965946,1.469252496,1.451675419,1.423640108,1.385564039,1.338595103,1.284309281,1.224776237,1.162278495,1.099198389,1.037666742,0.979661044,0.926940184,0.880753136,0.841962537,0.810686246,0.786713605,0.769490103,0.757947718,0.750999823,0.747345433,0.745865398,0.745540406,0.745621549,0.745506274,0.7448878,0.743598762,0.741622096,0.739034745,0.735965536,0.732607081,0.729053987,0.725219207,0.721103212,0.71667413,0.711973228,0.707186683,0.702397634,0.697608586,0.692819537,0.688030489,0.68324144,0.678452391,0.673727934,0.66974576,0.669017938,0.674435773,0.686506882,0.704601123,0.726857183,0.750455522,0.775268966,0.802345819,0.833107238,0.868973645,0.910779454,0.958799837,1.012479216,1.070574614,1.131212521,1.192159283,1.251263445,1.306448763,1.355943679,1.3984994,1.433518689,1.460978815,1.481180586,1.494916902,1.503129671,1.50692024,1.50725652,1.505023939,1.500905695,1.495544044,1.489387547,1.482859886,1.476498965,1.470855099,1.466576152,1.463792343,1.462246944,1.461551712,1.461272567
GR0326,SlowHS,0.738990029,0.736523472,0.733710506,0.730670435,0.72752063,0.724351754,0.721182877,0.718014001,0.714845124,0.711676248,0.708507371,0.705338495,0.704641722,0.711780774,0.726927266,0.749798145,0.779177347,0.810455919,0.84531693,0.886323281,0.934712773,0.990075531,1.050831499,1.114738388,1.179175296,1.241378972,1.298994886,1.350152763,1.393648215,1.428748365,1.455340109,1.473658521,1.484632154,1.489516731,1.4902689,1.488697309,1.486299857,1.483947723,1.481988121,1.480347933,1.478689951,1.476659472,1.473919786,1.470231892,1.465403237,1.459654175,1.454554522,1.451118069,1.449762944,1.450601651,1.452388742,1.454254033,1.456119325,1.457984617,1.459849909,1.461715201,1.463580493,1.465445784,1.467311076,1.469176368,1.47104166,1.472906952,1.474772244,1.476559668,1.477051217,1.473581871,1.46308786,1.443022727,1.411972405,1.370413084,1.320337562,1.263905308,1.203258225,1.140477772,1.077675871,1.016966885,0.959998305,0.908647432,0.864759947,0.829373785,0.802574947,0.783891067,0.772176694,0.765574948,0.762151798,0.760500994,0.759626335,0.758917529,0.758090413,0.757149174,0.756162212,0.755132483,0.754007239,0.75272318,0.751253863,0.749613888,0.747856753,0.74606066,0.744290626,0.742527407,0.740623335
GR0327,AcceleratingHS,1.474839254,1.476448835,1.478058416,1.479667997,1.481277578,1.48288716,1.484496741,1.486106322,1.487715903,1.489325484,1.490935066,1.492322032,1.49385104,1.4960421,1.499197314,1.503366817,1.508501577,1.513997232,1.518719847,1.521578342,1.521580761,1.517805886,1.50949972,1.496003347,1.476817412,1.451646825,1.420396173,1.383287512,1.340732699,1.293351575,1.241970651,1.187634202,1.131602941,1.075319218,1.020350886,0.968209019,0.920192146,0.877288309,0.8400884,0.808771665,0.783152487,0.762816308,0.747120406,0.735623076,0.727935112,0.723360504,0.721159192,0.720692929,0.721246836,0.722062673,0.72290102,0.723739368,0.724577715,0.725416062,0.726254409,0.727092756,0.727931103,0.728769451,0.729607798,0.730446145,0.731289373,0.732231849,0.733825111,0.736369704,0.739712217,0.743556078,0.747507346,0.750855022,0.753257813,0.755165222,0.757498899,0.761514744,0.768599807,0.780045287,0.796842208,0.819550978,0.848294323,0.882710567,0.922152246,0.965770063,1.012593425,1.06159181,1.111614951,1.161510843,1.210123331,1.256334961,1.299123837,1.337618637,1.371145477,1.399271656,1.42184116,1.438989992,1.451133323,1.458943644,1.463570642,1.466158152,1.467681204,1.46885344,1.470187121,1.471700237,1.473301537
GR0327,DeceleratingHS,0.775137104,0.771986865,0.768836626,0.765686387,0.762536148,0.759385909,0.75623567,0.753085431,0.749935192,0.746784953,0.743637471,0.740758504,0.73943183,0.740018445,0.742458696,0.746531717,0.751788745,0.756702704,0.760579736,0.76335379,0.765259073,0.766740132,0.768385488,0.770851211,0.774830288,0.78102781,0.790171021,0.802812552,0.819359268,0.839961703,0.864496811,0.892635002,0.923967458,0.958139837,0.994948142,1.034270965,1.075940835,1.119562637,1.164333291,1.209011551,1.252027725,1.291707696,1.326632199,1.355766161,1.378721619,1.395531905,1.407373908,1.415567341,1.421390124,1.425888066,1.430239032,1.434589999,1.438940966,1.443291932,1.447642899,1.451993865,1.456344832,1.460695799,1.465046765,1.469397732,1.47370045,1.477913463,1.481983435,1.485906816,1.489949623,1.494180794,1.498537552,1.502773266,1.506694701,1.509821762,1.511959784,1.513174743,1.513673327,1.513605525,1.512860235,1.510929686,1.506862242,1.4995014,1.4876431,1.470305112,1.446917546,1.417380945,1.382088427,1.341765252,1.297349621,1.249896696,1.200493059,1.150207319,1.100080842,1.051098203,1.004161074,0.960079939,0.919599224,0.883747988,0.854149294,0.831554983,0.815391356,0.80474417,0.7984492,0.794184764,0.790209716
GR0327,FastHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GR0327,SlowHS,0.807269491,0.823624984,0.839980478,0.856335971,0.872691465,0.889046958,0.905402452,0.921757945,0.938113438,0.954468932,0.971561995,0.995494288,1.028135305,1.069864098,1.12054379,1.179084932,1.238789012,1.29586199,1.348377981,1.394923923,1.43460494,1.46701446,1.492169074,1.510336122,1.521924813,1.527433047,1.527465238,1.522814557,1.514474492,1.503626689,1.491536929,1.479396032,1.468157206,1.458424691,1.450439144,1.444084111,1.439009823,1.434750241,1.43081344,1.426758639,1.422233921,1.416993629,1.410955695,1.403943174,1.396015378,1.387357957,1.378172338,1.368584227,1.358882984,1.349181742,1.3394805,1.329779257,1.320078015,1.310376773,1.30067553,1.290974288,1.281273045,1.271571803,1.261870561,1.25199596,1.240944772,1.224903938,1.201670905,1.170721723,1.132063146,1.086171085,1.037109422,0.987637747,0.939233274,0.893313504,0.851748248,0.816544569,0.789390798,0.771171504,0.761632579,0.759331667,0.761923327,0.76670627,0.771304092,0.774127743,0.774536688,0.772712345,0.769365695,0.76533861,0.761342671,0.757851648,0.755079875,0.753016495,0.751489874,0.750236826,0.748961736,0.747383274,0.745273785,0.742643491,0.740136312,0.73934754,0.741804594,0.747948722,0.757890398,0.77114577,0.786162316
GR0328,AcceleratingHS,0.898386935,0.863480576,0.830877516,0.8045743,0.780266613,0.7643025,0.751355055,0.743232902,0.739237974,0.739109973,0.740753468,0.742822497,0.745126581,0.745560727,0.745174703,0.747066903,0.746976568,0.746975248,0.747603723,0.74841831,0.74926071,0.751443235,0.752205797,0.751914076,0.752088335,0.752445524,0.751669923,0.751647292,0.750894865,0.750347269,0.750515355,0.750740177,0.750521155,0.751351374,0.753420258,0.756632169,0.764759058,0.776389861,0.792497861,0.816965344,0.844350742,0.879480353,0.919663529,0.965189673,1.013649168,1.067751911,1.12034989,1.173917526,1.231054548,1.27742,1.330387097,1.366203887,1.404377097,1.431359516,1.456315355,1.473322903,1.48635129,1.496465161,1.501206355,1.504033,1.502080645,1.496111,1.494822548,1.492331242,1.491394194,1.491208065,1.493169161,1.496373806,1.498669097,1.501000855,1.501907258,1.503971823,1.505195484,1.503478129,1.503719548,1.503754435,1.502652774,1.502854935,1.502815258,1.502861855,1.502483871,1.502499145,1.502334935,1.500976661,1.500301355,1.497275161,1.491130645,1.481386065,1.467739419,1.446077194,1.419568548,1.388387774,1.351591613,1.311711823,1.267619323,1.213290597,1.156935245,1.09716569,1.051317481,1.002653937,0.951989194
GR0328,DeceleratingHS,0.960753548,0.915066066,0.879548055,0.847753021,0.823569103,0.798050556,0.780968845,0.76851399,0.760593458,0.75396756,0.750498613,0.749681619,0.749905613,0.750869589,0.7504874,0.750336944,0.749474626,0.749071994,0.749535716,0.749419032,0.749530355,0.748879623,0.747055455,0.747040924,0.746478677,0.743699476,0.742385197,0.743247873,0.742538123,0.7416879,0.742737855,0.742811648,0.744698116,0.749362816,0.753190139,0.758271524,0.768264884,0.778725092,0.7920942,0.810042642,0.836016677,0.862733473,0.8941273,0.930259074,0.980843039,1.026905081,1.07730541,1.123809595,1.176375768,1.226212235,1.274666129,1.313557597,1.359095161,1.394267355,1.424523161,1.446002419,1.464199097,1.478003387,1.487214419,1.493479806,1.496789677,1.500464403,1.501018097,1.502659516,1.502688903,1.502352742,1.502062452,1.499317597,1.499132581,1.498930806,1.496985645,1.49450279,1.491747484,1.489975048,1.49010371,1.490831452,1.490899355,1.493814597,1.498353774,1.502245823,1.502183871,1.502492145,1.502067129,1.503801274,1.504021677,1.501445484,1.495333129,1.482391565,1.473397613,1.453544226,1.434634677,1.404421984,1.373105484,1.335950855,1.295262,1.251757685,1.202425277,1.159057784,1.103728968,1.056486458,1.001916129
