Var1,Var2,sub_trial_avg_1,sub_trial_avg_2,sub_trial_avg_3,sub_trial_avg_4,sub_trial_avg_5,sub_trial_avg_6,sub_trial_avg_7,sub_trial_avg_8,sub_trial_avg_9,sub_trial_avg_10,sub_trial_avg_11,sub_trial_avg_12,sub_trial_avg_13,sub_trial_avg_14,sub_trial_avg_15,sub_trial_avg_16,sub_trial_avg_17,sub_trial_avg_18,sub_trial_avg_19,sub_trial_avg_20,sub_trial_avg_21,sub_trial_avg_22,sub_trial_avg_23,sub_trial_avg_24,sub_trial_avg_25,sub_trial_avg_26,sub_trial_avg_27,sub_trial_avg_28,sub_trial_avg_29,sub_trial_avg_30,sub_trial_avg_31,sub_trial_avg_32,sub_trial_avg_33,sub_trial_avg_34,sub_trial_avg_35,sub_trial_avg_36,sub_trial_avg_37,sub_trial_avg_38,sub_trial_avg_39,sub_trial_avg_40,sub_trial_avg_41,sub_trial_avg_42,sub_trial_avg_43,sub_trial_avg_44,sub_trial_avg_45,sub_trial_avg_46,sub_trial_avg_47,sub_trial_avg_48,sub_trial_avg_49,sub_trial_avg_50,sub_trial_avg_51,sub_trial_avg_52,sub_trial_avg_53,sub_trial_avg_54,sub_trial_avg_55,sub_trial_avg_56,sub_trial_avg_57,sub_trial_avg_58,sub_trial_avg_59,sub_trial_avg_60,sub_trial_avg_61,sub_trial_avg_62,sub_trial_avg_63,sub_trial_avg_64,sub_trial_avg_65,sub_trial_avg_66,sub_trial_avg_67,sub_trial_avg_68,sub_trial_avg_69,sub_trial_avg_70,sub_trial_avg_71,sub_trial_avg_72,sub_trial_avg_73,sub_trial_avg_74,sub_trial_avg_75,sub_trial_avg_76,sub_trial_avg_77,sub_trial_avg_78,sub_trial_avg_79,sub_trial_avg_80,sub_trial_avg_81,sub_trial_avg_82,sub_trial_avg_83,sub_trial_avg_84,sub_trial_avg_85,sub_trial_avg_86,sub_trial_avg_87,sub_trial_avg_88,sub_trial_avg_89,sub_trial_avg_90,sub_trial_avg_91,sub_trial_avg_92,sub_trial_avg_93,sub_trial_avg_94,sub_trial_avg_95,sub_trial_avg_96,sub_trial_avg_97,sub_trial_avg_98,sub_trial_avg_99,sub_trial_avg_100,sub_trial_avg_101
GR0326,AcceleratingHS,1.174921992,1.192839175,1.210826,1.228822171,1.246820057,1.264817943,1.282815829,1.300813715,1.318811601,1.336809487,1.354807283,1.37277315,1.390384433,1.408243186,1.426561612,1.444725041,1.462105093,1.477301729,1.488996574,1.496992427,1.501607609,1.5035693,1.503741845,1.502903484,1.501627198,1.500220842,1.498699777,1.496835766,1.494252146,1.490506366,1.485165014,1.477794288,1.468124655,1.455960901,1.441215957,1.423890606,1.403943348,1.38151183,1.356641581,1.329378675,1.299746335,1.267670494,1.232905448,1.195138141,1.155183769,1.115605863,1.078710664,1.046230334,1.0186468,0.994099556,0.970947655,0.948215474,0.925523151,0.902831491,0.88013983,0.85744817,0.834778424,0.812466699,0.791592755,0.774006712,0.760875829,0.752720758,0.749103633,0.748258286,0.748815612,0.750009015,0.75141769,0.752981464,0.754781482,0.756744488,0.758660037,0.760204225,0.761068232,0.76102302,0.7600192,0.758248391,0.756123004,0.754238178,0.753290531,0.753972348,0.756870968,0.762397499,0.770757447,0.781967898,0.795911226,0.812417583,0.831271243,0.852173769,0.87486941,0.899153663,0.924855261,0.951780756,0.979715705,1.008166745,1.036081928,1.062218959,1.085463433,1.105950883,1.124588601,1.142398944,1.160141829
GR0326,DeceleratingHS,1.027840235,0.998744251,0.974103628,0.951562954,0.929801096,0.908333589,0.886958134,0.865615451,0.844272768,0.822930085,0.801587402,0.780244719,0.758932175,0.740315876,0.728955217,0.725231999,0.728606188,0.736654109,0.743526853,0.748084695,0.750570006,0.7515093,0.751497519,0.751077168,0.750659031,0.75050094,0.750706983,0.751262688,0.752076698,0.753014467,0.75394573,0.754792546,0.755570553,0.756427698,0.757686027,0.759821965,0.763512464,0.769469616,0.778489015,0.791355183,0.808618351,0.830645519,0.857486747,0.88893819,0.924520223,0.963475142,1.005065898,1.047632139,1.08788308,1.12278949,1.15148359,1.17384426,1.192534634,1.210130341,1.227629575,1.245141706,1.262653836,1.280165967,1.297678098,1.315190229,1.33270236,1.35021449,1.367773884,1.385416294,1.403111079,1.420283493,1.435668426,1.448559617,1.458920298,1.467255678,1.474680011,1.48184265,1.488478025,1.49405205,1.498169087,1.500674265,1.501629561,1.501303347,1.500094434,1.498429024,1.496672935,1.49506169,1.493672125,1.492386234,1.490889633,1.488694044,1.485144414,1.479529774,1.471166334,1.45938087,1.443498982,1.42291471,1.397386335,1.366982213,1.331824217,1.292094524,1.248110174,1.200858357,1.152315538,1.1057236,1.063951523
GR0326,FastHS,1.453344838,1.452312993,1.451285959,1.450258925,1.449231891,1.448204857,1.447177823,1.446150788,1.445123754,1.44409672,1.443069686,1.442035622,1.440930548,1.440267784,1.440251582,1.439883318,1.437577914,1.431051063,1.417939543,1.397248348,1.368871946,1.33337458,1.291888129,1.245815571,1.196740112,1.146252805,1.095844872,1.046785106,1.000198643,0.956968115,0.91774772,0.883033439,0.853048718,0.827855805,0.807293167,0.790999621,0.778600454,0.769453586,0.762946847,0.758452806,0.755381165,0.753177307,0.751380153,0.749623922,0.747654726,0.745341322,0.742627674,0.739539875,0.736111154,0.732324479,0.728256237,0.723967703,0.719562781,0.7151571,0.710788231,0.706444144,0.702101407,0.69775867,0.693415932,0.689073195,0.684840348,0.681848061,0.68254624,0.689499459,0.703890995,0.725330493,0.751921939,0.781105466,0.811908253,0.844290923,0.878642664,0.915486757,0.955196001,0.997915967,1.043375041,1.090935453,1.139630994,1.188315237,1.235767364,1.280863647,1.322539584,1.360010778,1.392740951,1.420454648,1.443131517,1.460930615,1.474142813,1.483210929,1.488603196,1.490810676,1.490297017,1.487564998,1.483172985,1.477733136,1.471918913,1.466492763,1.462142417,1.459015348,1.456913215,1.45547109,1.454307031
GR0326,SlowHS,0.738409013,0.734722956,0.730135659,0.724780594,0.718925271,0.712820859,0.706642671,0.700454469,0.694264512,0.688074556,0.681884599,0.67570773,0.672404434,0.678786587,0.695222154,0.72102434,0.754030235,0.786957111,0.820258202,0.856281651,0.896990821,0.943342932,0.995197107,1.051405438,1.110191456,1.169454398,1.227108382,1.28125136,1.330260563,1.372725237,1.407606763,1.43439456,1.453423742,1.465520526,1.472162899,1.475027156,1.475551275,1.474868096,1.473650721,1.472211995,1.470583818,1.468617369,1.466084307,1.462697203,1.458228548,1.453171019,1.448840883,1.445989984,1.445027787,1.445772138,1.447111454,1.448513391,1.449919271,1.451333711,1.452748152,1.454162592,1.455577032,1.456991473,1.458405913,1.459820354,1.461234794,1.462649235,1.464067922,1.465460656,1.466302416,1.465000161,1.459108848,1.446424744,1.425503572,1.396182726,1.359422568,1.316207969,1.267419809,1.214022952,1.157266298,1.098795047,1.040623983,0.985100824,0.934490996,0.890635103,0.854619154,0.826575331,0.80585744,0.791226033,0.781286517,0.774723747,0.770434524,0.767534622,0.765382542,0.763583088,0.761906954,0.760200731,0.75837477,0.756412622,0.754321207,0.752125569,0.7498794,0.747638574,0.745447126,0.743261419,0.740882604
GR0327,AcceleratingHS,1.408916376,1.415984968,1.423040752,1.430090117,1.437135671,1.444181109,1.451226548,1.458271986,1.465317425,1.472362863,1.47918971,1.484506968,1.48827014,1.49093437,1.492858295,1.494347175,1.496571558,1.499540234,1.502376869,1.50413684,1.503956945,1.501117366,1.495108436,1.485604204,1.472432915,1.455546122,1.434939783,1.410778355,1.383202547,1.352286313,1.318186252,1.281059039,1.241288405,1.199476142,1.156368387,1.112802897,1.069558716,1.027500316,0.987559123,0.95033146,0.91610596,0.885000799,0.857713283,0.835509944,0.818789206,0.807108805,0.799880606,0.795779249,0.792900869,0.790192235,0.787512172,0.784842012,0.782166664,0.779475024,0.776758412,0.77402422,0.771278477,0.768528965,0.765779453,0.763016313,0.760223553,0.757548309,0.75562525,0.754959779,0.755609777,0.757399162,0.759941768,0.762438305,0.764270056,0.765491104,0.766629367,0.768476655,0.771900438,0.777662295,0.786303318,0.798099184,0.813114561,0.8312227,0.852246858,0.876020877,0.902399535,0.931266526,0.962447041,0.995680368,1.030574177,1.066596748,1.103105804,1.139394478,1.174741346,1.208469839,1.240000576,1.268890966,1.29486424,1.317792033,1.337517402,1.354017184,1.367570146,1.378655958,1.387805944,1.395715941,1.403037196
GR0327,DeceleratingHS,0.817175469,0.81077918,0.804435927,0.79810173,0.791778365,0.785458762,0.779143542,0.772828547,0.766510481,0.760185354,0.753838338,0.747923695,0.743997969,0.742502432,0.743455041,0.746706937,0.751693339,0.756650397,0.760849168,0.764202008,0.766903921,0.769355649,0.772066096,0.775588112,0.780463272,0.787197745,0.796253134,0.807943228,0.822431888,0.839688977,0.859511387,0.881599097,0.905678794,0.931597788,0.95938235,0.989155122,1.021022287,1.054914963,1.090462001,1.126977275,1.163504955,1.198965702,1.232344403,1.26281503,1.289683316,1.312085056,1.330101419,1.344399224,1.355719327,1.364906326,1.373304672,1.38154872,1.389743131,1.397915327,1.406070026,1.414219642,1.422369258,1.430518874,1.438668491,1.446818107,1.454963731,1.463070226,1.470971265,1.47835521,1.485070576,1.491086968,1.496273921,1.500464467,1.503667674,1.505794166,1.506680443,1.506380174,1.505129925,1.503160766,1.500494348,1.496812498,1.491421824,1.4834316,1.471936954,1.45625014,1.436041212,1.411334636,1.382478855,1.349981158,1.314432053,1.276444196,1.236618628,1.19553158,1.153753186,1.111848697,1.070381535,1.029915626,0.991010847,0.954329261,0.921026315,0.89262083,0.869866712,0.852594647,0.840202588,0.831466,0.824491433
GR0327,FastHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GR0327,SlowHS,0.781050314,0.79329246,0.805744009,0.818259236,0.830784818,0.843296657,0.855811072,0.868362111,0.880979072,0.89368587,0.907421334,0.927501822,0.956084528,0.993774023,1.040747043,1.096054745,1.154304064,1.21216142,1.267775817,1.319765316,1.366691353,1.407461616,1.441496617,1.468517471,1.488468081,1.50154887,1.508333369,1.509739049,1.506673538,1.500254049,1.491631573,1.4817276,1.471615106,1.462111219,1.453708599,1.446555483,1.44052269,1.435295738,1.430478198,1.425624843,1.420330003,1.414319978,1.407796231,1.401008674,1.39402079,1.387028151,1.380246927,1.37354936,1.366744148,1.359909835,1.353070469,1.346231233,1.339391282,1.332552278,1.325716015,1.318879751,1.312043488,1.305203796,1.298343469,1.291313272,1.283126698,1.27145157,1.25398497,1.229317959,1.196836437,1.156961916,1.111741472,1.063749926,1.015024902,0.967199978,0.921976999,0.881052631,0.845960459,0.817767057,0.796828947,0.782718157,0.774358724,0.770168296,0.768502854,0.76793457,0.767395115,0.766281393,0.764413561,0.761917108,0.759075775,0.756210477,0.753584943,0.751349565,0.749523632,0.748010926,0.746633973,0.745174665,0.743420145,0.741302717,0.739213297,0.737988827,0.738580955,0.741756838,0.747812226,0.756550254,0.767265286
GR0328,AcceleratingHS,0.871845205,0.855349576,0.840603526,0.828324979,0.818752704,0.812695082,0.807382251,0.804489962,0.804008425,0.805756527,0.807861637,0.809228105,0.80998763,0.809607121,0.807681658,0.806135168,0.802815271,0.798624808,0.793581505,0.787245562,0.780058822,0.771116334,0.761268537,0.749843767,0.73732263,0.723877705,0.709375796,0.695653372,0.681469688,0.66750149,0.654678356,0.642883231,0.632296332,0.623520908,0.617427486,0.613318055,0.613302532,0.615650632,0.620382536,0.632057721,0.645523863,0.662841574,0.681877599,0.706037903,0.730253814,0.756987829,0.78372871,0.810342777,0.83901117,0.861548921,0.887423904,0.904747799,0.923175107,0.93597561,0.948136493,0.956997051,0.963467014,0.969505038,0.972548666,0.97514673,0.975447836,0.973521021,0.974262218,0.974208903,0.975058268,0.977243743,0.980955849,0.985107268,0.991024677,0.998425543,1.006058849,1.01493346,1.025850603,1.03683789,1.048482699,1.061091952,1.073977345,1.088807536,1.10167179,1.115964324,1.128535575,1.14092332,1.151216653,1.159731993,1.16815411,1.17373411,1.176547041,1.175087774,1.170172658,1.160179445,1.146253562,1.129816384,1.111786904,1.090513827,1.067704659,1.040187337,1.011331433,0.982011588,0.958032432,0.933615147,0.908867397
GR0328,DeceleratingHS,1.190676878,1.155780669,1.116180939,1.079203082,1.037658828,0.999680965,0.960875432,0.925202326,0.89024759,0.859741841,0.832581501,0.808572803,0.788448963,0.771768902,0.758430578,0.74817799,0.74063169,0.735320015,0.732056915,0.730227999,0.72874905,0.728169338,0.727446694,0.727477165,0.727329942,0.727352153,0.72723703,0.727050173,0.727848279,0.728117262,0.729531901,0.731765712,0.734874598,0.737656673,0.741009878,0.745358061,0.750097311,0.755779628,0.761984624,0.769136039,0.778340987,0.788457282,0.800012501,0.813359161,0.830305414,0.848891897,0.870277785,0.89363372,0.921918459,0.952497973,0.986208274,1.021729205,1.059517844,1.099471261,1.138921594,1.17958543,1.217923696,1.256543707,1.291297202,1.324593987,1.353840931,1.379148737,1.401208093,1.419105091,1.433851624,1.444817976,1.452563058,1.457885832,1.461112328,1.462222403,1.462369815,1.462208976,1.461228905,1.46063503,1.460025346,1.460031552,1.460223822,1.461175722,1.461530507,1.461932582,1.461440742,1.460822461,1.460192063,1.459076214,1.457244898,1.455211518,1.451813849,1.446963176,1.4416231,1.435027635,1.427450896,1.418271813,1.407287403,1.393809004,1.378699713,1.361944507,1.34198729,1.318606526,1.292159641,1.262972149,1.231713598
