Subjects,Condition,Trial,Leg,Time,StepLength,StepTime,LeadingLimbAngle,TrailingLimbAngle,PeakPropulsion,PeakBraking,PropulsionImpulse,BrakingImpulse,StepLength_Norm
GR0326,Accelerate,AcceleratingHS,Left,first30,0.506860819,0.630666667,26.72679401,-25.44689188,0.181452087,-0.095521376,0.035895058,-0.020206647,0.61812295
GR0327,Accelerate,AcceleratingHS,Left,first30,0.443484414,0.471,21.52503502,-19.1523119,0.177202678,-0.125081,0.020160473,-0.014463631,0.554355518
GR0328,Accelerate,AcceleratingHS,Left,first30,0.471308895,0.482,22.46400996,-16.11345756,0.164602799,-0.122672566,0.017818165,-0.02123704,0.589136119
GR0329,Accelerate,AcceleratingHS,Left,first30,0.622901994,0.64,30.8170428,-21.92795572,0.179946428,-0.172899419,0.042695462,-0.028827314,0.75048433
GR0330,Accelerate,AcceleratingHS,Left,first30,0.624685594,0.607666667,28.25615628,-15.81114594,0.137974927,-0.144402197,0.017642305,-0.030069616,0.67900608
GR0331,Accelerate,AcceleratingHS,Left,first30,0.546428223,0.527666667,27.58082698,-19.51968834,0.152229675,-0.104085572,0.023969298,-0.02342635,0.620941163
GR0334,Accelerate,AcceleratingHS,Left,first30,0.599568135,0.541666667,29.16654152,-17.02604137,0.11245732,-0.131444405,0.013696209,-0.024003173,0.749460169
GR0335,Accelerate,AcceleratingHS,Left,first30,0.55328652,0.526,28.30121947,-17.2272351,0.160806429,-0.142166811,0.017075142,-0.037902714,0.643356419
GR0336,Accelerate,AcceleratingHS,Left,first30,0.568354763,0.528,23.50668523,-22.5451632,0.221659636,-0.154908141,0.032531973,-0.023970107,0.645857685
MLR049,Accelerate,AcceleratingHS,Left,first30,0.630931732,0.585,29.14915401,-20.17884108,0.16273433,-0.202203396,0.033506649,-0.033898706,0.713723679
MLR050,Accelerate,AcceleratingHS,Left,first30,0.561705941,0.616,26.50921728,-20.38287608,0.181397651,-0.095470505,0.026131252,-0.019468849,0.62971518
GR0326,Baseline075,Baseline075,Left,first30,0.436132331,0.638666667,27.10491088,-12.98093255,0.073894028,-0.096058824,0.018448466,-0.02388447,0.531868696
GR0327,Baseline075,Baseline075,Left,first30,0.385845934,0.582666667,23.88899254,-10.95926028,0.087848511,-0.089173503,0.018286451,-0.016071442,0.482307418
GR0328,Baseline075,Baseline075,Left,first30,0.452455664,0.707666667,28.08395865,-14.90865077,0.120430173,-0.090526393,0.02897169,-0.022343233,0.56556958
GR0329,Baseline075,Baseline075,Left,first30,0.462524803,0.723,28.20753858,-18.10706521,0.135810847,-0.107029034,0.034628042,-0.029691731,0.557258799
GR0330,Baseline075,Baseline075,Left,first30,0.444517231,0.677333333,24.41483897,-12.82482541,0.110060427,-0.094421781,0.022717241,-0.021937301,0.483170903
GR0331,Baseline075,Baseline075,Left,first30,0.43916154,0.633666667,26.41187419,-13.12642034,0.09762127,-0.077062895,0.023716249,-0.021055495,0.499047205
GR0334,Baseline075,Baseline075,Left,first30,0.446745953,0.663666667,29.05298178,-14.83177739,0.118470432,-0.098173316,0.026962747,-0.0199189,0.558432441
GR0335,Baseline075,Baseline075,Left,first30,0.405660244,0.607,24.6825527,-14.79115241,0.116823434,-0.108366323,0.023336276,-0.021955746,0.471697958
GR0336,Baseline075,Baseline075,Left,first30,0.41263518,0.605,23.62083302,-15.12215036,0.124888779,-0.114999352,0.02580827,-0.021338473,0.468903614
MLR049,Baseline075,Baseline075,Left,first30,0.455686086,0.670666667,28.10031623,-12.91437992,0.094922335,-0.10182002,0.026197281,-0.024403631,0.515481998
MLR050,Baseline075,Baseline075,Left,first30,0.445590658,0.660666667,23.9787878,-14.4100294,0.126637007,-0.074087331,0.027700182,-0.016429688,0.499541096
GR0326,Baseline1125,Baseline1125,Left,first30,0.565058011,0.566666667,30.84925999,-18.77395089,0.158398061,-0.156419206,0.029145465,-0.033581218,0.689095135
GR0327,Baseline1125,Baseline1125,Left,first30,0.495789724,0.507333333,25.43283709,-17.78843096,0.162862524,-0.124002881,0.021971537,-0.01643661,0.619737155
GR0328,Baseline1125,Baseline1125,Left,first30,0.555421284,0.562666667,28.88091758,-19.82139724,0.19778242,-0.15167586,0.031452002,-0.02564223,0.694276605
GR0329,Baseline1125,Baseline1125,Left,first30,0.567906862,0.585333333,30.38567248,-22.1858415,0.204115632,-0.188640771,0.039162558,-0.029170602,0.684225135
GR0330,Baseline1125,Baseline1125,Left,first30,0.547995533,0.587666667,28.70248166,-17.32985749,0.19081735,-0.141725071,0.02851709,-0.025598348,0.595647318
GR0331,Baseline1125,Baseline1125,Left,first30,0.539561677,0.543,27.9714278,-17.96190534,0.159824985,-0.136004726,0.024929724,-0.03401715,0.613138269
GR0334,Baseline1125,Baseline1125,Left,first30,0.531980338,0.535,31.54879927,-19.28133126,0.178799061,-0.165813448,0.028691001,-0.025324816,0.664975423
GR0335,Baseline1125,Baseline1125,Left,first30,0.523939149,0.536,28.97417067,-19.74134745,0.1945749,-0.186535785,0.030277556,-0.028732855,0.609231569
GR0336,Baseline1125,Baseline1125,Left,first30,0.528469337,0.532,27.52243932,-19.21623628,0.183932928,-0.188522842,0.032448147,-0.026800706,0.600533338
MLR049,Baseline1125,Baseline1125,Left,first30,0.606503693,0.596666667,30.90216821,-20.11606472,0.177766132,-0.171903029,0.036162339,-0.035777696,0.68609015
MLR050,Baseline1125,Baseline1125,Left,first30,0.547317832,0.566,27.57977256,-19.00527224,0.182862298,-0.124424839,0.030521388,-0.021019943,0.613585013
GR0326,Baseline150,Baseline150,Left,first30,0.689930274,0.527666667,34.15554631,-24.47270398,0.224059036,-0.220598264,0.034700089,-0.037420308,0.841378383
GR0327,Baseline150,Baseline150,Left,first30,0.561380016,0.437333333,25.25279988,-22.24927282,0.187201897,-0.166320758,0.02264274,-0.021663883,0.70172502
